Movie_Title,MPAA,Distributor,Genre,Rotten_Tomatoes_Rating
The Land Girls,R,Gramercy,0,0.0
"First Love, Last Rites",R,Strand,Drama,0.0
I Married a Strange Person,0,Lionsgate,Comedy,0.0
Let's Talk About Sex,0,Fine Line,Comedy,13.0
Slam,R,Trimark,Drama,62.0
Mississippi Mermaid,0,MGM,0,0.0
Following,R,Zeitgeist,0,0.0
Foolish,R,Artisan,Comedy,0.0
Pirates,R,0,0,25.0
Duel in the Sun,0,0,0,86.0
Tom Jones,0,0,0,81.0
Oliver!,0,Sony Pictures,Musical,84.0
To Kill A Mockingbird,0,Universal,0,97.0
"Tora, Tora, Tora",0,0,0,0.0
Hollywood Shuffle,0,0,0,87.0
Over the Hill to the Poorhouse,0,0,0,0.0
Wilson,0,0,0,0.0
Darling Lili,0,0,0,0.0
The Ten Commandments,0,0,0,90.0
12 Angry Men,0,United Artists,Drama,0.0
Twelve Monkeys,R,Universal,Drama,0.0
1776,PG,Sony/Columbia,Drama,57.0
1941,0,Universal,Comedy,33.0
Chacun sa nuit,Not Rated,Strand,Thriller/Suspense,0.0
2001: A Space Odyssey,0,0,0,96.0
"20,000 Leagues Under the Sea",0,Walt Disney Pictures,Adventure,92.0
"20,000 Leagues Under the Sea",0,0,Adventure,0.0
24 7: Twenty Four Seven,R,October Films,Comedy,0.0
Twin Falls Idaho,R,Sony Pictures Classics,Drama,77.0
Three Kingdoms: Resurrection of the Dragon,R,0,Action,0.0
3 Men and a Baby,0,Walt Disney Pictures,Comedy,0.0
3 Ninjas Kick Back,PG,Walt Disney Pictures,Action,17.0
Forty Shades of Blue,R,Vitagraph Films,Drama,0.0
42nd Street,0,Warner Bros.,Musical,95.0
Four Rooms,R,Miramax,Comedy,14.0
The Four Seasons,0,Universal,Comedy,71.0
Four Weddings and a Funeral,R,Gramercy,Romantic Comedy,96.0
51 Birch Street,Not Rated,Truly Indie,0,97.0
55 Days at Peking,0,0,Drama,57.0
Nine 1/2 Weeks,0,MGM,Drama,0.0
AstÈrix aux Jeux Olympiques,Not Rated,Alliance,Adventure,0.0
The Abyss,PG-13,20th Century Fox,Action,88.0
Action Jackson,0,Lorimar Motion Pictures,Action,10.0
Ace Ventura: Pet Detective,PG-13,Warner Bros.,Comedy,49.0
Ace Ventura: When Nature Calls,PG-13,Warner Bros.,Comedy,0.0
April Fool's Day,0,Paramount Pictures,Horror,31.0
Among Giants,R,Fox Searchlight,Romantic Comedy,0.0
Annie Get Your Gun,0,MGM,Musical,100.0
Alice in Wonderland,0,RKO Radio Pictures,Musical,20.0
The Princess and the Cobbler,G,Miramax,Adventure,0.0
The Alamo,PG-13,United Artists,Western,54.0
Alexander's Ragtime Band,0,20th Century Fox,Drama,0.0
Alive,R,Walt Disney Pictures,Adventure,71.0
Amen,Not Rated,Kino International,Drama,0.0
American Graffiti,0,Universal,Comedy,97.0
American Ninja 2: The Confrontation,0,0,Action,0.0
The American President,PG-13,Sony Pictures,Romantic Comedy,90.0
Annie Hall,0,MGM,Comedy,98.0
Anatomie,Not Rated,Sony Pictures,Horror,0.0
The Adventures of Huck Finn,PG,Walt Disney Pictures,Adventure,62.0
The Apartment,0,United Artists,Romantic Comedy,91.0
Apocalypse Now,R,MGM,Action,98.0
Arachnophobia,0,Walt Disney Pictures,Thriller/Suspense,85.0
Arn - Tempelriddaren,R,0,Action,0.0
Arnolds Park,PG-13,The Movie Partners,Thriller/Suspense,0.0
Sweet Sweetback's Baad Asssss Song,0,0,0,0.0
And Then Came Love,Not Rated,Fox Meadow,Comedy,17.0
Around the World in 80 Days,PG,United Artists,Adventure,73.0
Barbarella,0,Paramount Pictures,Adventure,74.0
Barry Lyndon,0,Warner Bros.,Drama,94.0
"Barbarians, The",0,0,0,0.0
Babe,G,Universal,Adventure,98.0
Boynton Beach Club,R,Wingate Distribution,Romantic Comedy,0.0
Baby's Day Out,PG,20th Century Fox,Comedy,21.0
Bound by Honor,0,Walt Disney Pictures,0,0.0
"Bon Cop, Bad Cop",Not Rated,Alliance,Comedy,67.0
Back to the Future,0,Universal,Adventure,96.0
Back to the Future Part II,0,Universal,Adventure,64.0
Back to the Future Part III,0,Universal,Adventure,71.0
Butch Cassidy and the Sundance Kid,0,20th Century Fox,Western,90.0
Bad Boys,R,Sony Pictures,Action,39.0
Body Double,0,Sony/Columbia,Thriller/Suspense,84.0
"The Beast from 20,000 Fathoms",0,Warner Bros.,0,90.0
Beastmaster 2: Through the Portal of Time,0,New Line,0,17.0
The Beastmaster,0,MGM,Action,50.0
Ben-Hur,0,MGM,Adventure,0.0
Ben-Hur,0,MGM,Adventure,91.0
Benji,0,0,Adventure,83.0
Before Sunrise,R,Sony Pictures,Drama,100.0
Beauty and the Beast,G,Walt Disney Pictures,Musical,93.0
The Best Years of Our Lives,0,RKO Radio Pictures,Drama,97.0
The Ballad of Gregorio Cortez,0,Embassy,Western,0.0
My Big Fat Independent Movie,R,Big Fat Movies,Comedy,23.0
Battle for the Planet of the Apes,0,20th Century Fox,0,38.0
Big Things,0,0,0,0.0
Bogus,PG,Warner Bros.,Comedy,40.0
Beverly Hills Cop,0,Paramount Pictures,Action,83.0
Beverly Hills Cop II,R,Paramount Pictures,Action,46.0
Beverly Hills Cop III,R,Paramount Pictures,Action,10.0
The Black Hole,0,Walt Disney Pictures,0,42.0
Bathory,0,0,0,0.0
Big,0,20th Century Fox,Comedy,96.0
The Big Parade,0,MGM,Drama,100.0
Boyz n the Hood,0,Sony Pictures,Drama,98.0
"The Book of Mormon Movie, Volume 1: The Journey",PG,Distributor Unknown,Drama,0.0
Return to the Blue Lagoon,0,0,0,0.0
"Bright Lights, Big City",R,United Artists,Drama,61.0
The Blue Bird,0,20th Century Fox,0,0.0
The Blue Butterfly,PG,Alliance,Drama,44.0
Blade Runner,R,Warner Bros.,Thriller/Suspense,92.0
Bloodsport,0,Cannon,Action,0.0
The Blues Brothers,0,Universal,Musical,84.0
Blow Out,0,Filmways Pictures,Thriller/Suspense,89.0
De battre mon coeur s'est arrÍtÈ,Not Rated,WellSpring,Drama,0.0
The Broadway Melody,0,MGM,Musical,38.0
Boom Town,0,MGM,0,0.0
Bound,R,Gramercy,Thriller/Suspense,88.0
Bang,0,JeTi Films,Thriller/Suspense,0.0
Bananas,PG-13,MGM,Comedy,89.0
Bill & Ted's Bogus Journey,0,Orion Pictures,Comedy,58.0
The Birth of a Nation,0,0,Drama,100.0
The Ballad of Cable Hogue,0,Warner Bros.,Western,92.0
The Blood of Heroes,0,New Line,Action,0.0
The Blood of My Brother: A Story of Death in Iraq,0,Lifesize Entertainment,Documentary,71.0
Boomerang,0,Paramount Pictures,Comedy,37.0
The Bridge on the River Kwai,0,Sony/Columbia,Drama,95.0
Born on the Fourth of July,0,Universal,Drama,89.0
Basquiat,R,Miramax,Drama,69.0
Black Rain,0,Paramount Pictures,Thriller/Suspense,57.0
Bottle Rocket,R,Sony Pictures,Adventure,79.0
Braindead,0,Trimark,Horror,0.0
The Bridges of Madison County,PG-13,Warner Bros.,Drama,90.0
The Brothers McMullen,R,Fox Searchlight,Drama,91.0
Dracula,R,Sony Pictures,Horror,0.0
Broken Arrow,R,20th Century Fox,Action,55.0
Brainstorm,0,MGM,Thriller/Suspense,64.0
Braveheart,R,Paramount Pictures,Drama,77.0
Les BronzÈs 3: amis pour la vie,0,0,Comedy,0.0
Brazil,R,Universal,Black Comedy,98.0
Blazing Saddles,0,Warner Bros.,Comedy,89.0
The Basket,PG,MGM,Drama,0.0
Bathing Beauty,0,MGM,Musical,0.0
Bill & Ted's Excellent Adventure,0,Orion Pictures,Comedy,81.0
A Bridge Too Far,0,MGM,Action,67.0
Beetle Juice,0,Warner Bros.,Comedy,0.0
Batman Returns,PG-13,Warner Bros.,Action,78.0
Batman Forever,PG-13,Warner Bros.,Action,43.0
Batman - The Movie,0,0,0,0.0
Batman,PG-13,Warner Bros.,Action,71.0
Buffy the Vampire Slayer,0,20th Century Fox,Horror,32.0
Bienvenue chez les Ch'tis,Not Rated,Link Productions Ltd.,Comedy,0.0
Beyond the Valley of the Dolls,0,20th Century Fox,Comedy,68.0
Broken Vessels,R,0,Drama,0.0
The Boys from Brazil,0,20th Century Fox,Thriller/Suspense,65.0
The Business of Fancy Dancing,Not Rated,Outrider Pictures,Drama,0.0
Caddyshack,0,Warner Bros.,Comedy,75.0
Cape Fear,R,Universal,Thriller/Suspense,76.0
Clear and Present Danger,PG-13,Paramount Pictures,Action,78.0
Carrie,0,MGM,Horror,90.0
Casino Royale,0,Sony Pictures,Comedy,30.0
Camping Sauvage,Not Rated,Alliance,Comedy,0.0
The Cotton Club,0,Orion Pictures,Drama,74.0
Crop Circles: Quest for Truth,0,0,0,60.0
Close Encounters of the Third Kind,0,Sony Pictures,Adventure,95.0
The Cable Guy,PG-13,Sony Pictures,Comedy,52.0
Chocolate: Deep Dark Secrets,Not Rated,Eros Entertainment,Thriller/Suspense,0.0
Child's Play,0,United Artists,Horror,70.0
Child's Play 2,0,Universal,Horror,38.0
