Movie_Title,Director_Name,IMDB_score,Actor_1,Actor_2,Actor_3,Gross_Revenue,Budget,Total_Facebook_Likes,Country
Avatar,James Cameron,7.9,CCH Pounder,Joel David Moore,Wes Studi,760505847.0,237000000.0,33000,USA
Pirates of the Caribbean: At World's End,Gore Verbinski,7.1,Johnny Depp,Orlando Bloom,Jack Davenport,309404152.0,300000000.0,0,USA
Spectre,Sam Mendes,6.8,Christoph Waltz,Rory Kinnear,Stephanie Sigman,200074175.0,245000000.0,85000,UK
The Dark Knight Rises,Christopher Nolan,8.5,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,448130642.0,250000000.0,164000,USA
John Carter,Andrew Stanton,6.6,Daryl Sabara,Samantha Morton,Polly Walker,73058679.0,263700000.0,24000,USA
Spider-Man 3,Sam Raimi,6.2,J.K. Simmons,James Franco,Kirsten Dunst,336530303.0,258000000.0,0,USA
Tangled,Nathan Greno,7.8,Brad Garrett,Donna Murphy,M.C. Gainey,200807262.0,260000000.0,29000,USA
Avengers: Age of Ultron,Joss Whedon,7.5,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,458991599.0,250000000.0,118000,USA
Harry Potter and the Half-Blood Prince,David Yates,7.5,Alan Rickman,Daniel Radcliffe,Rupert Grint,301956980.0,250000000.0,10000,UK
Batman v Superman: Dawn of Justice,Zack Snyder,6.9,Henry Cavill,Lauren Cohan,Alan D. Purwin,330249062.0,250000000.0,197000,USA
Superman Returns,Bryan Singer,6.1,Kevin Spacey,Marlon Brando,Frank Langella,200069408.0,209000000.0,0,USA
Quantum of Solace,Marc Forster,6.7,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,168368427.0,200000000.0,0,UK
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,7.3,Johnny Depp,Orlando Bloom,Jack Davenport,423032628.0,225000000.0,5000,USA
The Lone Ranger,Gore Verbinski,6.5,Johnny Depp,Ruth Wilson,Tom Wilkinson,89289910.0,215000000.0,48000,USA
Man of Steel,Zack Snyder,7.2,Henry Cavill,Christopher Meloni,Harry Lennix,291021565.0,225000000.0,118000,USA
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,6.6,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,141614023.0,225000000.0,0,USA
The Avengers,Joss Whedon,8.1,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,623279547.0,220000000.0,123000,USA
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,6.7,Johnny Depp,Sam Claflin,Stephen Graham,241063875.0,250000000.0,58000,USA
Men in Black 3,Barry Sonnenfeld,6.8,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,179020854.0,225000000.0,40000,USA
The Hobbit: The Battle of the Five Armies,Peter Jackson,7.5,Aidan Turner,Adam Brown,James Nesbitt,255108370.0,250000000.0,65000,New Zealand
The Amazing Spider-Man,Marc Webb,7.0,Emma Stone,Andrew Garfield,Chris Zylka,262030663.0,230000000.0,56000,USA
Robin Hood,Ridley Scott,6.7,Mark Addy,William Hurt,Scott Grimes,105219735.0,200000000.0,17000,USA
The Hobbit: The Desolation of Smaug,Peter Jackson,7.9,Aidan Turner,Adam Brown,James Nesbitt,258355354.0,225000000.0,83000,USA
The Golden Compass,Chris Weitz,6.1,Christopher Lee,Eva Green,Kristin Scott Thomas,70083519.0,180000000.0,0,USA
King Kong,Peter Jackson,7.2,Naomi Watts,Thomas Kretschmann,Evan Parke,218051260.0,207000000.0,0,New Zealand
Titanic,James Cameron,7.7,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,658672302.0,200000000.0,26000,USA
Captain America: Civil War,Anthony Russo,8.2,Robert Downey Jr.,Scarlett Johansson,Chris Evans,407197282.0,250000000.0,72000,USA
Battleship,Peter Berg,5.9,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,65173160.0,209000000.0,44000,USA
Jurassic World,Colin Trevorrow,7.0,Bryce Dallas Howard,Judy Greer,Omar Sy,652177271.0,150000000.0,150000,USA
Skyfall,Sam Mendes,7.8,Albert Finney,Helen McCrory,Rory Kinnear,304360277.0,200000000.0,80000,UK
Spider-Man 2,Sam Raimi,7.3,J.K. Simmons,James Franco,Kirsten Dunst,373377893.0,200000000.0,0,USA
Iron Man 3,Shane Black,7.2,Robert Downey Jr.,Jon Favreau,Don Cheadle,408992272.0,200000000.0,95000,USA
Alice in Wonderland,Tim Burton,6.5,Johnny Depp,Alan Rickman,Anne Hathaway,334185206.0,200000000.0,24000,USA
X-Men: The Last Stand,Brett Ratner,6.8,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,234360014.0,210000000.0,0,Canada
Monsters University,Dan Scanlon,7.3,Steve Buscemi,Tyler Labine,Sean Hayes,268488329.0,200000000.0,44000,USA
Transformers: Revenge of the Fallen,Michael Bay,6.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,402076689.0,200000000.0,0,USA
Transformers: Age of Extinction,Michael Bay,5.7,Bingbing Li,Sophia Myles,Kelsey Grammer,245428137.0,210000000.0,56000,USA
Oz the Great and Powerful,Sam Raimi,6.4,Tim Holmes,Mila Kunis,James Franco,234903076.0,215000000.0,60000,USA
The Amazing Spider-Man 2,Marc Webb,6.7,Emma Stone,Andrew Garfield,B.J. Novak,202853933.0,200000000.0,41000,USA
TRON: Legacy,Joseph Kosinski,6.8,Jeff Bridges,Olivia Wilde,James Frain,172051787.0,170000000.0,30000,USA
Cars 2,John Lasseter,6.3,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,191450875.0,200000000.0,10000,USA
Green Lantern,Martin Campbell,5.6,Ryan Reynolds,Temuera Morrison,Taika Waititi,116593191.0,200000000.0,24000,USA
